파일	줄	문장 앞 60자	종류(rule|claim|evidence|connective|other)	Why 있음(예/아니오)	근거 경로(있으면)	판정(keep|rewrite|delete)	이유
system/PRD-session-memory.md	69	기억 모델 절과 표 머리	connective	아니오		keep	인지 대응표의 구조를 제공한다.
system/PRD-session-memory.md	73	세션 컨텍스트는 휘발·압축되는 캐시다.	other	예	system/PRD-session-memory.md:39-41	keep	단기기억의 역할을 정의한다.
system/PRD-session-memory.md	74	전사 원장은 이미 373MB이고 회상 도구만 부재했다.	claim	예	system/PRD-session-memory.md:515	rewrite	수치를 테스트·결정·원 실행의 시점값 또는 장난감 입력값으로 한정해 계보와 범위를 연결했다.
system/PRD-session-memory.md	75	의미 기억은 auto-memory와 렌즈·프레임 문서에 둔다.	rule	예	system/PRD-session-memory.md:515	rewrite	문장 내용은 유지하고 문서의 근거 연결 절에서 적용 목적과 실패 방지 이유를 연결했다.
system/PRD-session-memory.md	76	작업 기억 포인터는 public NOW와 local overlay의 합친 view다.	rule	예	decision:KIT-DR-006; AGENTS.md:28-34	keep	공개와 로컬 상태의 국경을 보존하는 이유가 결정에 있다.
system/PRD-session-memory.md	77	사건 기록은 public/local 월별 journal에 둔다.	rule	예	decision:KIT-DR-006	keep	컴팩션 독립 추출과 쓰기 시점 격리가 이유다.
system/PRD-session-memory.md	78	스레드 장기 상태는 서류철에 둔다.	rule	예	system/PRD-session-memory.md:168-187	keep	깊이 손실 증상 7·8의 복구 지점으로 설명된다.
system/PRD-session-memory.md	79	개인 사실은 _private/ledger에 두고 불가침으로 취급한다.	rule	예	system/PRD-info-architecture.md:103-110	keep	동결 영역을 참조만 하게 하는 데이터 국경 원칙이 이유다.
system/PRD-session-memory.md	80	1차 사고는 사건 시점에 journal·서류철 델타로 기록한다.	rule	예	paper:2608.11242	keep	컴팩션 전에 별도 추출해야 한다는 결과가 이유다.
system/PRD-session-memory.md	81	2차 사고는 정원사 패스에 위임한다.	rule	예	system/PRD-session-memory.md:209-223	keep	원문 대조와 제안·집행 분리 조건이 뒤에서 제공된다.
system/PRD-session-memory.md	83	아키텍처와 권위 서열 제목	connective	아니오		keep	구조를 구분하는 제목이다.
system/PRD-session-memory.md	87	개인 사실부터 캐시까지 권위 서열	other	예	system/PRD-session-memory.md:101-123	keep	후속 표가 주장 종류별 정본과 충돌 규칙을 구체화한다.
system/PRD-session-memory.md	94	local overlay가 없으면 부재 자체를 상태로 취급한다.	rule	예	AGENTS.md:28-34	keep	public-only를 전체 상태로 오인하지 않게 한다.
system/PRD-session-memory.md	101	권위는 파일이 아니라 주장 종류에도 붙는다.	rule	예	system/PRD-session-memory.md:106-113	keep	전사 원장 규칙의 과잉 적용을 막는 이유가 명시됐다.
system/PRD-session-memory.md	106	주장의 종류·정본·왜 표 머리	connective	아니오		keep	주장 종류별 권위 표의 열을 정의한다.
system/PRD-session-memory.md	108	소유자가 무엇을 말했는지는 전사 원문이 정본이다.	rule	예	system/PRD-info-architecture.md:68-80	keep	발화가 원점이고 요약은 파생물이라는 이유가 있다.
system/PRD-session-memory.md	109	journal decision과 코드·문서는 DR id를 인용한다.	rule	예	system/PRD-session-memory.md:18-23	keep	결정의 Why를 사용 지점에서 찾고 재발을 막는다.
system/PRD-session-memory.md	109	소유자 결정은 DR과 journal decision이 정본이다.	rule	예	system/PRD-session-memory.md:353-364	keep	탐색 발화와 확정 결정을 구분해야 한다는 이유가 있다.
system/PRD-session-memory.md	110	overlay 부재는 unavailable, registry 일부 invalid는 degraded로 말한다.	rule	예	test:tools/test_state_runtime.py:299-304	keep	부재와 손상을 정상 상태처럼 숨기지 않는 이유다.
system/PRD-session-memory.md	110	현재 상태는 합친 NOW view가 정본이고 local 충돌이 우선이다.	rule	예	decision:KIT-DR-006	keep	더 좁은 scope와 overlay 부재 표기가 이유다.
system/PRD-session-memory.md	112	스레드 진척은 서류철이 정본이고 journal은 사건만 담는다.	rule	예	system/PRD-session-memory.md:168-187	keep	논증 상태와 사건 기록의 역할 분리가 이유다.
system/PRD-session-memory.md	114	role=user는 소유자의 발화가 아니다.	evidence	예	system/PRD-session-memory.md:116-120; tools/recall.py:105-150	keep	세 오염원과 판별 구현이 바로 뒤에 제시된다.
system/PRD-session-memory.md	116	시스템 주입은 내용 패턴으로 판별한다.	rule	예	tools/recall.py:105-121	keep	user 라벨을 공유하는 오염원을 제외하기 위한 규칙이다.
system/PRD-session-memory.md	117	서브에이전트 복제 이력은 session_meta thread_source로 판별한다.	rule	예	tools/recall.py:124-150	keep	중복 발화와 시점 오염을 접두어로 못 잡은 실측이 이유다.
system/PRD-session-memory.md	120	컴팩션 요약은 role=요약본으로 태깅한다.	rule	예	tools/recall.py:373-378	keep	원문이 아닌 파생물을 발화로 오귀속하지 않게 한다.
system/PRD-session-memory.md	122	recall.py는 세 오염원을 기본 제외하고 옵션으로 복원한다.	other	예	tools/recall.py:416-449	keep	현재 구현의 기본값과 옵션이 일치한다.
system/PRD-session-memory.md	123	런타임이 달라도 오염 규칙은 같고 파일 형식만 다르다.	rule	예	tools/recall.py:83-102	keep	공통 오염 유형을 소스별 파서로 처리한다.
system/PRD-session-memory.md	125	상태 ledger 절 제목	connective	예	decision:KIT-DR-006	keep	결정 번호와 절 범위를 연결한다.
system/PRD-session-memory.md	127	track을 public allowlist로 분류하고 미등재는 private로 내린다.	rule	예	decision:KIT-DR-006; tools/memlib.py:303-323	keep	private-derived 사건의 public 재출력을 막는 이유가 있다.
system/PRD-session-memory.md	129	--private는 public track도 내리는 하향 override만 제공한다.	rule	예	decision:KIT-DR-006; test:tools/test_state_runtime.py:103-114	keep	공개 승격을 자동화하지 않는 데이터 국경이 이유다.
system/PRD-session-memory.md	132	private 유래 system 사건은 --private로 내리고 public 승격은 사람이 판정한다.	rule	예	decision:KIT-DR-006	keep	자동 분류가 출처 민감도를 알 수 없다는 경계를 보존한다.
system/PRD-session-memory.md	132	분류는 내용 판정을 대신하지 않는다.	rule	예	system/PRD-session-memory.md:132-135	keep	private 유래 system 사건도 호출자가 내려야 하기 때문이다.
system/PRD-session-memory.md	134	legacy journal은 cutoff와 당시 public set으로 판정한다.	rule	예	decision:KIT-DR-006; tools/memlib.py:141-165	keep	allowlist 확대가 과거 private body를 소급 공개하지 않게 한다.
system/PRD-session-memory.md	137	public NOW는 공개 projection, local NOW는 overlay다.	other	예	decision:KIT-DR-006	keep	두 상태 파일의 역할을 정의한다.
system/PRD-session-memory.md	138	SessionStart는 둘을 합쳐 local authoritative view를 만든다.	rule	예	AGENTS.md:28-34; tools/now.py:649-695	keep	public만으로 전체 상태를 단언하지 않기 위해 필요하다.
system/PRD-session-memory.md	138	SessionStart는 합친 상태를 6,000 bytes 안에서 주입한다.	rule	예	tools/now.py:649-695; system/memory-config.json:68-69	keep	컴팩션 복구를 수동 규율에만 의존하지 않게 한다.
system/PRD-session-memory.md	141	local render 실패 시 public-only degraded view를 반환한다.	rule	예	tools/now.py:636-642	keep	로컬 실패가 유효한 공개 주입까지 없애지 않게 한다.
system/PRD-session-memory.md	142	private 기록은 public bytes를 바꾸지 않고 private thread는 local regis	rule	예	test:tools/test_state_runtime.py:912-925	keep	private 이름과 사건의 공개 누출을 막는 이유다.
system/PRD-session-memory.md	144	local registry 오류는 public을 막지 않고 충돌 key는 skip+degraded다.	rule	예	test:tools/test_state_runtime.py:926-950	keep	로컬 손상이 공개 projection을 바꾸지 않게 한다.
system/PRD-session-memory.md	147	한 repo-wide lock이 append부터 atomic replace까지 직렬화한다.	rule	예	tools/memlib.py:421-481; test:tools/test_state_runtime.py:1003-1040	keep	append와 publish를 따로 잠그면 stale writer가 가능하다는 이유가 있다.
system/PRD-session-memory.md	149	hook reader는 완성본만 읽고 journal이 새로우면 lock 후 재생성한다.	rule	예	tools/now.py:591-642	keep	읽기 중간 상태와 stale snapshot을 피하기 위한 규칙이다.
system/PRD-session-memory.md	150	render 입력 identity를 고정하고 전후 fingerprint가 같을 때만 publish한다.	rule	예	test:tools/test_state_runtime.py:661-750	keep	동시 변경을 새 산출물로 오인하지 않게 한다.
system/PRD-session-memory.md	152	post-publish 실패 시 snapshot과 journal append·mtime을 rollback한다	rule	예	test:tools/test_state_runtime.py:661-750	keep	retry가 중복 사건이나 stale cursor를 만들지 않게 한다.
system/PRD-session-memory.md	154	검증 없이 새 bytes를 marker에 쓰면 구 산출물을 false-certify할 수 있다.	evidence	예	test:tools/test_state_runtime.py:661-750	keep	금지할 실패 모드를 구체적으로 설명한다.
system/PRD-session-memory.md	156	malformed 사건 줄은 조용히 버리지 않는다.	rule	예	test:tools/test_state_runtime.py:282-304	keep	손상 입력을 정상처럼 처리하지 않기 위한 규칙이다.
system/PRD-session-memory.md	157	freshness N일은 local calendar-date 차이로 계산하고 mtime을 묶는다.	rule	예	test:tools/test_state_runtime.py:357-380	keep	marker의 local-date 경계와 일치시켜 날짜 전환을 결정적으로 만든다.
system/PRD-session-memory.md	160	pre-commit은 content fingerprint와 정규화한 snapshot bytes를 검사한다.	rule	예	tools/now.py:448-524	keep	checkout mtime은 허용하면서 NOW 본문 변조는 거부하기 위한 규칙이다.
system/PRD-session-memory.md	164	기존 추적 history를 지우지 않고 blob 정리는 별도 승인으로 둔다.	rule	예	decision:KIT-DR-006	keep	이미 reachable한 기록 정리는 파괴 작업이라 승인 범위가 다르다.
system/PRD-session-memory.md	168	스레드 서류철 절 제목	connective	아니오		keep	깊이 저장 규약의 시작을 표시한다.
system/PRD-session-memory.md	170	살아 있는 깊은 스레드마다 정본 문서 하나를 지정한다.	rule	예	system/PRD-session-memory.md:27-30	keep	주제 복귀 시 논증 깊이를 잃는 실패를 막기 위한 규칙이다.
system/PRD-session-memory.md	171	신규 파일보다 기존 문서를 우선 지정한다.	rule	예	system/PRD-session-memory.md:55	keep	저장소 재조직이 정확도를 사지 못한다는 근거와 맞는다.
system/PRD-session-memory.md	175	서류철은 현재 위치·확정·기각·미결·다음 수를 담는다.	rule	예	system/PRD-session-memory.md:27-30	keep	복귀에 필요한 논증 상태를 보존하기 위한 다섯 칸이다.
system/PRD-session-memory.md	177	서류철은 논증 상태 저장이며 작게 유지하고 사실 인용에 근거를 붙인다.	rule	예	paper:2607.26637; paper:2608.11095	keep	조직화 함정과 근거 부패를 동시에 피하는 이유가 있다.
system/PRD-session-memory.md	181	두 가지 의식	connective	아니오		keep	마감과 복귀 절차를 묶는 제목이다.
system/PRD-session-memory.md	182	깊은 세션을 떠나기 전 델타를 5줄 이내 append한다.	rule	예	system/PRD-session-memory.md:27-30	keep	깊이를 디스크에 남기면서 쓰기 비용을 1회로 제한한다.
system/PRD-session-memory.md	183	마감 의식의 원가는 쓰기 1회다.	claim	예	system/PRD-session-memory.md:515	rewrite	수치를 테스트·결정·원 실행의 시점값 또는 장난감 입력값으로 한정해 계보와 범위를 연결했다.
system/PRD-session-memory.md	185	서류철을 안 읽고 깊은 스레드에 답하는 것을 금지한다.	rule	예	system/PRD-session-memory.md:27-30	keep	이전 결론과 기각 경로를 잃는 실패가 이유다.
system/PRD-session-memory.md	187	NOW는 살아 있는 스레드 목록과 서류철 링크를 표시한다.	rule	예	tools/now.py:212-233	keep	복귀 진입점을 자동 상태 view에 노출한다.
system/PRD-session-memory.md	189	recall.py 절, 검색 명령과 sessions 명령 형식	rule	예	tools/recall.py:1-18	keep	표적 검색과 세션 목록의 실제 CLI가 구현돼 있다.
system/PRD-session-memory.md	191	전사 원장은 373MB다.	claim	예	system/PRD-session-memory.md:515	rewrite	수치를 테스트·결정·원 실행의 시점값 또는 장난감 입력값으로 한정해 계보와 범위를 연결했다.
system/PRD-session-memory.md	199	사용 규약 제목	connective	아니오		keep	세 가지 검색 사용 규칙을 도입한다.
system/PRD-session-memory.md	200	주제 복귀 전 표적 질의로 원문을 확인하고 전체 읽기는 금지한다.	rule	예	paper:2607.20064	keep	요청 시 검색에서만 이득이 난다는 결과가 이유다.
system/PRD-session-memory.md	202	검색 결과를 통째로 붓지 않고 현재 질문에 묶어 몇 줄로 번역한다.	rule	예	paper:2607.01538; paper:2608.12847	keep	리드아웃 붕괴와 타깃 결속 개선이 이유다.
system/PRD-session-memory.md	204	소유자 발화 원문 판정에는 반드시 recall을 쓴다.	rule	예	system/PRD-info-architecture.md:68-80	keep	발화가 원점이고 요약은 파생물이기 때문이다.
system/PRD-session-memory.md	207	구현은 표준 라이브러리 grep·파싱만 쓰고 무의존성이다.	other	예	tools/recall.py:19-27	keep	현재 import가 표준 라이브러리와 로컬 memlib로 제한된다.
system/PRD-session-memory.md	207	임베딩 도입은 §3.7 게이트를 따른다.	rule	예	system/PRD-session-memory.md:237-258	keep	실패 트리거가 생기기 전 조기 최적화를 막는다.
system/PRD-session-memory.md	209	정원사 절 제목	connective	아니오		keep	위임된 2차 사고 규약의 시작이다.
system/PRD-session-memory.md	211	정원사는 제안만 하고 집행하지 않는다.	rule	예	system/PRD-session-memory.md:217-223	keep	원문 대조와 사람 판정을 분리해 오탐 집행을 막는다.
system/PRD-session-memory.md	211	정원사는 주 1회 또는 요청 시 실행한다.	rule	예	system/PRD-session-memory.md:339	rewrite	문장 내용은 유지하고 문서의 근거 연결 절에서 적용 목적과 실패 방지 이유를 연결했다.
system/PRD-session-memory.md	212	레이더의 신고·판정 분리가 오탐 2건을 지켰다.	claim	예	system/PRD-session-memory.md:515	rewrite	수치를 테스트·결정·원 실행의 시점값 또는 장난감 입력값으로 한정해 계보와 범위를 연결했다.
system/PRD-session-memory.md	214	정원사는 now.py check를 실행하고 해석한다.	rule	예	tools/wf_gardener.js:52-69	keep	현재 workflow가 검사 절차를 명시한다.
system/PRD-session-memory.md	216	N일 무갱신·Why 없음·supersede 누락을 식별한다.	rule	예	system/PRD-session-memory.md:57; tools/wf_gardener.js:52-69	keep	부패와 근거 손실을 찾는 정원사의 역할에 맞는다.
system/PRD-session-memory.md	217	서류철 결론 표본을 recall 원문과 대조한다.	rule	예	paper:2608.11095; tools/wf_gardener.js:67-73	keep	검증 없는 정제가 손실을 만들 수 있다는 이유가 있다.
system/PRD-session-memory.md	219	같은 사실의 다중 거주와 문서 간 충돌을 찾는다.	rule	예	system/PRD-session-memory.md:19-22	keep	초기 실패 목록의 드리프트와 팬아웃을 탐지한다.
system/PRD-session-memory.md	220	선택적으로 여러 스레드의 충돌·연결을 표면화한다.	rule	예	system/PRD-session-memory.md:254-255	keep	수동 교차 연결 비용을 측정해 그래프 재평가에 쓰기 위함이다.
system/PRD-session-memory.md	223	정원사 산출물은 state 아래 리포트 1건이고 집행은 소유자 판정 후다.	rule	예	tools/wf_gardener.js:72-88	keep	제안과 집행을 분리하는 안전장치를 실제 산출물에 적용한다.
system/PRD-session-memory.md	225	상시 규칙 다이어트 절 제목	connective	아니오		keep	규칙 예산 설계를 도입한다.
system/PRD-session-memory.md	227	신뢰 가능한 동시 제약 수는 5~6개다.	claim	예	paper:2608.12426	keep	정량 주장에 논문 ID가 있다.
system/PRD-session-memory.md	228	규칙이 많을수록 덜 지켜지므로 규칙 추가 관성을 뒤집는다.	rule	예	paper:2608.12426	keep	동시 실패 확률의 곱이라는 문헌 결과가 이유다.
system/PRD-session-memory.md	231	상시 코어를 7개 이하로 제한한다.	rule	예	paper:2608.12426; AGENTS.md:20-58	keep	현재 AGENTS의 7개 코어가 규칙 예산을 구현한다.
system/PRD-session-memory.md	233	나머지 규칙은 조건부 로드 문서로 이동한다.	rule	예	paper:2608.12426; AGENTS.md:53-58	keep	상시 주의 예산을 보존하면서 규칙을 삭제하지 않는 방식이다.
system/PRD-session-memory.md	234	조건부 로드는 이미 세 번 검증된 관행이다.	other	아니오		rewrite	현재 corpus와 구조 리뷰를 대조해 보존 또는 표현 한정으로 재판정했다.
system/PRD-session-memory.md	235	모든 상시 규칙에 Why를 붙이고 못 쓰면 삭제 후보다.	rule	예	paper:2608.11095	keep	근거가 먼저 썩는다는 결과가 이유다.
system/PRD-session-memory.md	237	임베딩·그래프 절 제목	connective	아니오		keep	보류 결정을 도입한다.
system/PRD-session-memory.md	239	현재 임베딩·그래프를 채택하지 않고 조건부 보류한다.	rule	예	system/PRD-session-memory.md:241-248	keep	문헌 세 건, 데이터 분포, 유지비, 독립 실측이 근거다.
system/PRD-session-memory.md	241	lexical 우위와 고유명사·시간 구조, 임베딩 유지비를 근거로 든다.	evidence	예	paper:2607.29377; paper:2607.20064; paper:2608.12847	keep	보류 결정의 세 근거를 구분해 제시한다.
system/PRD-session-memory.md	245	그래프 0.42 대 0.47, judge 0.607 대 0.911이다.	claim	예	paper:2608.28978	keep	비교 지표와 표 위치가 명시됐다.
system/PRD-session-memory.md	247	결과는 단일 사용자 대화 회상에 한정하고 일반화하지 않는다.	rule	예	paper:2608.28978; decision:DR-052	keep	현재 corpus와 구조 리뷰를 대조해 보존 또는 표현 한정으로 재판정했다.
system/PRD-session-memory.md	251	known-item 실패 3회 누적 시 임베딩 게이트를 발동한다.	rule	예	system/PRD-session-memory.md:342	rewrite	문장 내용은 유지하고 문서의 근거 연결 절에서 적용 목적과 실패 방지 이유를 연결했다.
system/PRD-session-memory.md	251	known-item 실패가 기록으로 3회 누적되면 재평가한다.	rule	예	system/PRD-session-memory.md:342	rewrite	문장 내용은 유지하고 문서의 근거 연결 절에서 적용 목적과 실패 방지 이유를 연결했다.
system/PRD-session-memory.md	252	표현 불일치로 lexical이 잇지 못하는 사례가 실증되면 재평가한다.	rule	예	system/PRD-session-memory.md:241-245	keep	lexical에 유리하다는 현재 전제가 깨질 때만 비용을 다시 지불한다.
system/PRD-session-memory.md	253	전사 규모가 수 GB를 넘겨 grep 응답성을 해치면 재평가한다.	rule	예	system/PRD-session-memory.md:515	rewrite	문장 내용은 유지하고 문서의 근거 연결 절에서 적용 목적과 실패 방지 이유를 연결했다.
system/PRD-session-memory.md	254	교차 연결 수요가 수동 비용을 넘으면 그래프를 재평가한다.	rule	예	system/PRD-session-memory.md:220-221	keep	정원사 수동 패스가 실제 비용을 관측하는 선행 단계다.
system/PRD-session-memory.md	257	트리거 후 1순위는 Gemini+로컬 색인이고 원문·lexical은 유지한다.	rule	예	system/PRD-session-memory.md:515	rewrite	문장 내용은 유지하고 문서의 근거 연결 절에서 적용 목적과 실패 방지 이유를 연결했다.
system/PRD-session-memory.md	260	안 하는 것 절 제목	connective	아니오		keep	비목표 목록을 도입한다.
system/PRD-session-memory.md	262	고정 토폴로지는 생성 토폴로지의 1.4pt 이내이고 통과 토폴로지는 약 6개다.	claim	예	paper:2609.02264	keep	비교 수치와 논문 ID가 붙어 있다.
system/PRD-session-memory.md	262	멀티에이전트 토폴로지 설계·탐색을 하지 않는다.	rule	예	paper:2609.02264; decision:DR-053	keep	현재 corpus와 구조 리뷰를 대조해 보존 또는 표현 한정으로 재판정했다.
system/PRD-session-memory.md	264	DB·프레임워크·대개편·대화 미러링·통찰 저장소를 도입하지 않는다.	rule	예	paper:2608.03874	rewrite	문장 내용은 유지하고 문서의 근거 연결 절에서 적용 목적과 실패 방지 이유를 연결했다.
system/PRD-session-memory.md	268	성공 기준 절 제목	connective	아니오		keep	검증 가능한 목표 목록을 도입한다.
system/PRD-session-memory.md	270	NOW 1회로 상태 질문 3개를 재질문 0회에 복원한다.	rule	예	system/PRD-session-memory.md:18-23	keep	상태 손실과 낡은 단언을 막는 성공 기준이다.
system/PRD-session-memory.md	271	8/8 사고 픽스처를 check가 잡아야 한다.	rule	예	system/PRD-session-memory.md:18	keep	초기 상태 손실 사례의 회귀를 막는다.
system/PRD-session-memory.md	272	상태 사실의 손 쓰기 집을 5에서 2로 줄인다.	rule	예	system/PRD-session-memory.md:515	rewrite	문장 내용은 유지하고 문서의 근거 연결 절에서 적용 목적과 실패 방지 이유를 연결했다.
system/PRD-session-memory.md	273	복귀 시 결론·기각 경로를 재진술하고 피상성은 실패로 기록한다.	rule	예	system/PRD-session-memory.md:27-30	keep	깊이 손실을 직접 관측하고 원인 분석으로 연결한다.
system/PRD-session-memory.md	276	의식은 툴콜 1회, 각 주입은 6,000 UTF-8 bytes 이하다.	rule	예	system/memory-config.json:62-70	rewrite	문장 내용은 유지하고 문서의 근거 연결 절에서 적용 목적과 실패 방지 이유를 연결했다.
system/PRD-session-memory.md	278	규칙 위반이 체감 감소하는지 소유자 관측으로 판정한다.	rule	예	system/PRD-session-memory.md:515	rewrite	문장 내용은 유지하고 문서의 근거 연결 절에서 적용 목적과 실패 방지 이유를 연결했다.
system/PRD-session-memory.md	279	fresh worker receipt는 4,096 bytes 이하이고 native persistence는 0	rule	예	tools/fresh_worker.py:31; test:tools/test_fresh_worker.py:54-55	keep	master context를 보호하고 전문은 local-private에 남기는 계약과 테스트가 있다.
system/PRD-session-memory.md	282	단계별 목표 절 제목	connective	아니오		keep	단계 계획을 도입한다.
system/PRD-session-memory.md	284	Phase 1은 약 반나절이며 컴팩션 생존의 최소 완결이 목표다.	claim	예	system/PRD-session-memory.md:515	rewrite	수치를 테스트·결정·원 실행의 시점값 또는 장난감 입력값으로 한정해 계보와 범위를 연결했다.
system/PRD-session-memory.md	285	Phase 1 구현 목록을 순서대로 수행한다.	rule	예	system/PRD-session-memory.md:16-44	keep	상태와 깊이 손실의 최소 척추를 먼저 만든다.
system/PRD-session-memory.md	288	상태 질문 3개와 known-item 3개로 Phase 1을 검증한다.	rule	예	system/PRD-session-memory.md:515	rewrite	문장 내용은 유지하고 문서의 근거 연결 절에서 적용 목적과 실패 방지 이유를 연결했다.
system/PRD-session-memory.md	291	Phase 2는 검출기·서류철 3개·정원사·스킬 4종을 만든다.	rule	예	system/PRD-session-memory.md:209-223	keep	현재 corpus와 구조 리뷰를 대조해 보존 또는 표현 한정으로 재판정했다.
system/PRD-session-memory.md	292	Phase 2의 now.py check는 검출기 5종을 둔다.	rule	예	system/PRD-session-memory.md:515	rewrite	문장 내용은 유지하고 문서의 근거 연결 절에서 적용 목적과 실패 방지 이유를 연결했다.
system/PRD-session-memory.md	296	Phase 3은 코어 7개·rituals·Why·온도판·memory-map을 만든다.	rule	예	paper:2608.12426; AGENTS.md:20-58	keep	현재 corpus와 구조 리뷰를 대조해 보존 또는 표현 한정으로 재판정했다.
system/PRD-session-memory.md	300	Phase 4는 2주 후 성공 기준 4·5·7로 설계를 재판정한다.	rule	예	system/PRD-session-memory.md:515	rewrite	문장 내용은 유지하고 문서의 근거 연결 절에서 적용 목적과 실패 방지 이유를 연결했다.
system/PRD-session-memory.md	303	셀프 그릴링 절 제목	connective	아니오		keep	반론과 응답을 도입한다.
system/PRD-session-memory.md	306	서류철은 검색 조직화가 아니라 논증 체크포인트이며 작게 유지한다.	evidence	예	paper:2607.26637	keep	조직화가 정확도를 사지 못한다는 반론을 역할 분리로 해소한다.
system/PRD-session-memory.md	307	레이더 HANDOFF가 세션 한도 3회를 넘겨줬다.	claim	예	system/PRD-session-memory.md:515	rewrite	수치를 테스트·결정·원 실행의 시점값 또는 장난감 입력값으로 한정해 계보와 범위를 연결했다.
system/PRD-session-memory.md	309	recall grep은 373MB에서 초 단위다.	claim	예	system/PRD-session-memory.md:515	rewrite	수치를 테스트·결정·원 실행의 시점값 또는 장난감 입력값으로 한정해 계보와 범위를 연결했다.
system/PRD-session-memory.md	309	병목은 검색이 아니라 주입이다.	evidence	예	paper:2607.01538; paper:2608.12847	keep	리드아웃과 타깃 결속 문헌을 근거로 든다.
system/PRD-session-memory.md	311	정원사는 원문 대조·제안 분리로 자기 판정 순환을 끊는다.	rule	예	system/PRD-session-memory.md:217-223	keep	검증 없는 정제 손실과 집행 오탐을 막는 이유다.
system/PRD-session-memory.md	312	레이더 분리가 오탐 2건을 지켰다.	claim	예	system/PRD-session-memory.md:515	rewrite	수치를 테스트·결정·원 실행의 시점값 또는 장난감 입력값으로 한정해 계보와 범위를 연결했다.
system/PRD-session-memory.md	314	다이어트는 삭제가 아니라 조건부 이동이며 현상 유지가 더 많이 어긴다.	evidence	예	paper:2608.12426	keep	동시 지시 예산 결과로 규칙 유실 반론에 답한다.
system/PRD-session-memory.md	315	조건부 로드는 WORKING-WITH-AI와 lenses에서 작동 중이다.	evidence	예	system/WORKING-WITH-AI.md:1; system/lenses/README.md:1	keep	현재 corpus와 구조 리뷰를 대조해 보존 또는 표현 한정으로 재판정했다.
system/PRD-session-memory.md	317	성분은 문헌에 있고 새로움은 조합과 운용 데이터이며 논문화는 부차다.	rule	예	system/PRD-session-memory.md:52-63	keep	논문화 목적이 운용 설계를 왜곡하지 않게 하는 이유가 명시됐다.
system/PRD-session-memory.md	321	전사 보존 정책은 소관 밖이며 단일 사본은 D11 판정이 필요하다.	evidence	예	system/PRD-session-memory.md:343-344	keep	현재 corpus와 구조 리뷰를 대조해 보존 또는 표현 한정으로 재판정했다.
system/PRD-session-memory.md	323	모든 훅은 fail-safe와 짧은 timeout을 쓰며 수동 의식과 check를 남긴다.	rule	예	decision:KIT-DR-003; .claude/settings.json:3-20	keep	훅 실패가 세션을 막지 않으면서 경고와 수동 복구를 보존한다.
system/PRD-session-memory.md	325	memory-map은 memlib+live 상태에서 자립형 HTML로 생성하며 손 편집을 금지한다.	rule	예	tools/build_memory_map.py:1-5	keep	그림과 구현의 드리프트를 구조적으로 막는다.
system/PRD-session-memory.md	325	memory-map은 손 편집하지 않고 스키마와 live 상태에서 생성한다.	rule	예	tools/build_memory_map.py:1-5	keep	그림과 구현의 드리프트를 구조적으로 막는 이유다.
system/PRD-session-memory.md	328	DR은 설계 결정만 5줄 이내 단일 파일에 append한다.	rule	예	system/decisions.md:6-8	keep	기록 없는 결정의 재논의와 드리프트 비용을 줄이면서 관료 비용을 제한한다.
system/PRD-session-memory.md	329	D1~D15가 첫 엔트리라 개설 비용은 0에 가깝다.	claim	예	system/decisions.md:10	rewrite	수치를 테스트·결정·원 실행의 시점값 또는 장난감 입력값으로 한정해 계보와 범위를 연결했다.
system/PRD-session-memory.md	332	결정 필요 사항 절 제목	connective	아니오		keep	미결 선택지를 도입한다.
system/PRD-session-memory.md	334	D1~D5는 v1과 같고 D4는 KIT-DR-006으로 좁힌다.	other	예	decision:KIT-DR-006	keep	현재 corpus와 구조 리뷰를 대조해 보존 또는 표현 한정으로 재판정했다.
system/PRD-session-memory.md	336	D6은 기존 문서 지정과 전용 dossier 신설 중 고른다.	rule	예	system/PRD-session-memory.md:515	rewrite	문장 내용은 유지하고 문서의 근거 연결 절에서 적용 목적과 실패 방지 이유를 연결했다.
system/PRD-session-memory.md	338	D7은 이 프로젝트 세션과 전체 프로젝트 중 검색 범위를 고른다.	rule	예	system/PRD-session-memory.md:515	rewrite	문장 내용은 유지하고 문서의 근거 연결 절에서 적용 목적과 실패 방지 이유를 연결했다.
system/PRD-session-memory.md	339	D8은 정원사를 주 1회 또는 요청 시로 고른다.	rule	예	system/PRD-session-memory.md:211-223	keep	현재 corpus와 구조 리뷰를 대조해 보존 또는 표현 한정으로 재판정했다.
system/PRD-session-memory.md	340	D9 코어 7개는 Phase 3 진입 때 소유자가 고른다.	rule	예	paper:2608.12426; AGENTS.md:20-58	keep	현재 corpus와 구조 리뷰를 대조해 보존 또는 표현 한정으로 재판정했다.
system/PRD-session-memory.md	342	D10 known-item 실패 3회가 적정한지 판정한다.	rule	예	system/PRD-session-memory.md:515	rewrite	문장 내용은 유지하고 문서의 근거 연결 절에서 적용 목적과 실패 방지 이유를 연결했다.
system/PRD-session-memory.md	343	D11은 373MB 전사 사본을 repo 밖 local에 백업한다.	rule	예	system/PRD-session-memory.md:515	rewrite	문장 내용은 유지하고 문서의 근거 연결 절에서 적용 목적과 실패 방지 이유를 연결했다.
system/PRD-session-memory.md	345	D12는 SessionStart와 PreCompact를 settings에 추가한다.	rule	예	system/PRD-session-memory.md:39-44; .claude/settings.json:3-20	keep	의식을 규율에서 인프라로 옮기고 현재 구현도 존재한다.
